region_id,date,num_businesses,restaurant_count,retail_count,industrial_activity_score
R001,2025-01-01,139,53,88,26.718451717068547
R001,2025-01-02,313,15,89,21.76140244488256
R001,2025-01-03,142,51,86,82.37298801341699
R001,2025-01-04,459,34,67,58.186035068466246
R001,2025-01-05,139,66,55,70.91571657014643
R001,2025-01-06,467,94,46,86.01204413974133
R001,2025-01-07,164,64,91,98.68617025302161
R001,2025-01-08,154,25,120,24.948358653078195
R001,2025-01-09,440,23,115,18.090248745791293
R001,2025-01-10,245,48,147,46.19983427939485
R001,2025-01-11,363,37,45,3.50712794785325
R001,2025-01-12,163,60,85,79.17178815635283
R001,2025-01-13,124,58,41,88.37599988343821
R001,2025-01-14,462,18,36,68.60396987480284
R001,2025-01-15,425,67,26,26.799502456360933
R001,2025-01-16,469,54,126,12.315547398879056
R001,2025-01-17,266,31,87,38.214418791988834
R001,2025-01-18,326,41,147,83.33356205052533
R001,2025-01-19,298,78,56,34.78278037861146
R001,2025-01-20,213,96,57,3.4254573626639973
R001,2025-01-21,443,78,115,27.42803762251319
R001,2025-01-22,406,51,20,98.99456100757233
R001,2025-01-23,457,62,61,67.66687556658833
R001,2025-01-24,241,68,82,90.08548299771279
R001,2025-01-25,276,83,100,77.48652675011076
R001,2025-01-26,226,48,27,53.970551532663066
R001,2025-01-27,148,24,46,14.86888723949803
R001,2025-01-28,85,80,71,34.86444783557177
R001,2025-01-29,145,38,110,58.37402252742222
R001,2025-01-30,201,12,105,87.0632348731992
R001,2025-01-31,200,92,35,26.867504586489964
R001,2025-02-01,239,19,85,12.122686934022953
R001,2025-02-02,273,38,24,55.883231755481745
R001,2025-02-03,86,88,101,17.650122251805566
R001,2025-02-04,317,44,137,61.03617693219066
R001,2025-02-05,418,15,100,26.3521442483732
R001,2025-02-06,232,21,89,23.096300430062467
R001,2025-02-07,62,47,134,39.91807649888911
R001,2025-02-08,328,86,26,59.31917575579458
R001,2025-02-09,266,28,69,54.5317672949313
R001,2025-02-10,404,76,130,24.473447723498055
R001,2025-02-11,410,17,66,89.11166744533762
R001,2025-02-12,335,17,131,10.988196973520104
R001,2025-02-13,322,93,62,3.94675630743353
R001,2025-02-14,418,56,110,60.270626940619756
R001,2025-02-15,111,13,48,12.340716806547647
R001,2025-02-16,133,60,147,50.48908142789611
R001,2025-02-17,417,94,115,95.17732844096327
R001,2025-02-18,266,76,136,69.85802714527901
R001,2025-02-19,391,54,89,61.74565803977604
R001,2025-02-20,446,17,149,57.48052248722807
R001,2025-02-21,236,96,89,17.953925219959277
R001,2025-02-22,68,25,129,43.26478246281044
R001,2025-02-23,226,86,75,34.25235073667625
R001,2025-02-24,149,76,108,95.30743222220627
R001,2025-02-25,445,18,119,24.2320231370725
R001,2025-02-26,494,69,148,47.15163713960514
R001,2025-02-27,282,87,76,93.80793632762501
R001,2025-02-28,452,86,70,78.9180652439315
R001,2025-03-01,125,80,131,96.45152392844231
R001,2025-03-02,314,24,123,60.8330255146991
R001,2025-03-03,333,80,146,33.378685474593404
R001,2025-03-04,255,50,74,82.66497754640591
R001,2025-03-05,272,31,20,29.14562713733706
