region_id,date,waste_tons
R093,2025-03-02,10.16
R043,2025-01-05,9.81
R029,2025-03-06,8.45
R004,2025-02-23,13.8
R063,2025-01-11,10.03
R049,2025-03-06,11.6
R097,2025-01-29,7.95
R089,2025-02-25,9.19
R091,2025-03-04,9.92
R080,2025-03-01,9.77
R002,2025-03-04,6.72
R092,2025-02-06,11.17
R062,2025-01-10,5.57
R035,2025-01-19,8.72
R082,2025-02-12,10.19
R047,2025-02-04,9.91
R087,2025-01-07,12.94
R033,2025-01-25,7.57
R028,2025-02-21,4.64
R011,2025-03-05,9.18
R046,2025-01-27,8.26
R044,2025-02-05,10.97
R044,2025-02-24,9.95
R002,2025-02-01,9.36
R090,2025-01-08,12.25
R020,2025-02-11,7.34
R009,2025-03-07,9.96
R056,2025-03-08,10.75
R016,2025-01-26,9.73
R047,2025-02-06,12.07
R034,2025-01-07,10.03
R009,2025-01-02,8.61
R078,2025-02-24,11.78
R073,2025-03-05,11.07
R043,2025-03-09,7.19
R016,2025-03-07,9.79
R056,2025-02-28,10.25
R031,2025-02-23,10.52
R089,2025-03-05,7.78
R076,2025-02-11,7.24
R051,2025-01-10,10.6
R019,2025-01-28,6.63
R004,2025-02-05,12.37
R026,2025-02-15,6.45
R076,2025-01-04,10.16
R044,2025-01-23,13.27
R041,2025-03-04,10.13
R039,2025-01-14,9.14
R086,2025-02-07,8.5
R003,2025-02-07,10.18
R093,2025-01-28,10.57
R001,2025-02-07,6.52
R049,2025-02-06,8.34
R055,2025-01-30,6.0
R068,2025-01-19,7.26
R049,2025-01-07,10.88
R067,2025-02-22,9.45
R009,2025-01-26,9.03
R021,2025-02-08,7.11
R015,2025-02-12,6.39
R008,2025-02-24,11.06
R056,2025-01-31,12.85
R016,2025-01-25,8.67
R057,2025-02-16,9.93
R037,2025-01-30,8.79
R071,2025-01-28,12.51
R011,2025-02-22,8.85
R069,2025-02-22,8.26
R062,2025-02-03,8.71
R071,2025-02-08,10.98
R050,2025-01-04,9.34
R023,2025-03-08,9.64
R056,2025-03-07,11.11
R100,2025-02-03,12.31
R095,2025-03-11,7.98
R031,2025-01-18,10.11
R035,2025-03-02,8.15
R063,2025-01-04,7.03
R028,2025-02-14,8.18
R032,2025-01-30,7.57
R001,2025-02-20,10.66
R052,2025-03-11,7.34
R069,2025-01-07,10.39
R100,2025-01-23,11.68
R041,2025-03-02,12.15
R045,2025-01-03,11.39
R078,2025-02-13,10.94
R007,2025-01-10,8.14
R099,2025-02-01,11.37
R060,2025-01-25,6.63
R056,2025-02-09,9.39
R021,2025-01-13,11.03
R025,2025-02-22,5.77
R033,2025-01-10,9.92
R095,2025-03-10,7.86
R040,2025-02-21,7.57
R063,2025-01-15,10.35
R057,2025-01-27,9.24
R065,2025-02-08,11.75
R055,2025-01-17,6.86
R061,2025-02-16,7.43
R059,2025-02-18,6.74
R081,2025-02-18,5.96
R033,2025-02-03,10.39
R049,2025-02-02,10.14
R083,2025-02-03,6.71
R033,2025-03-08,6.57
R066,2025-01-10,13.95
R052,2025-02-24,7.72
R084,2025-01-05,6.83
R025,2025-03-02,9.84
R081,2025-01-11,6.29
R031,2025-01-19,8.89
R087,2025-01-25,12.43
R039,2025-01-25,9.78
R081,2025-01-21,11.11
R063,2025-01-28,7.42
R023,2025-01-11,12.92
R004,2025-01-21,13.44
R008,2025-02-14,11.77
R004,2025-01-30,9.56
R088,2025-01-08,9.95
R078,2025-02-21,10.49
R085,2025-03-02,9.59
R055,2025-02-07,6.54
R085,2025-02-10,9.44
R045,2025-02-23,9.87
R027,2025-03-10,8.26
R019,2025-03-10,10.2
R049,2025-01-24,9.87
R021,2025-02-24,10.62
R082,2025-02-16,11.08
R083,2025-02-06,8.09
R031,2025-02-08,9.65
R064,2025-02-02,14.13
R037,2025-02-26,8.94
R033,2025-02-02,5.75
R038,2025-01-29,10.88
R091,2025-02-25,6.48
R038,2025-02-03,10.72
R007,2025-02-18,10.4
R002,2025-01-10,6.38
R091,2025-03-01,8.16
R071,2025-02-23,9.47
R050,2025-02-03,6.84
R030,2025-02-03,7.86
R070,2025-02-17,4.91
R091,2025-03-11,11.16
R057,2025-01-14,9.57
R079,2025-02-17,8.31
R093,2025-01-24,10.93
R046,2025-01-23,6.62
R028,2025-01-05,7.41
R032,2025-02-06,5.53
R015,2025-01-15,7.92
R026,2025-02-21,8.69
R098,2025-02-28,5.46
R021,2025-02-22,10.55
R023,2025-02-16,6.62
R058,2025-01-24,9.49
R007,2025-02-07,10.2
R021,2025-02-21,7.73
R086,2025-01-15,8.13
R077,2025-02-18,12.28
R007,2025-01-18,8.36
R085,2025-03-08,6.85
R072,2025-02-12,10.92
R029,2025-01-12,10.25
R072,2025-02-26,10.88
R039,2025-02-26,10.31
R007,2025-02-19,6.59
R008,2025-01-14,11.32
R015,2025-03-09,6.21
R049,2025-01-01,10.49
R085,2025-03-01,8.5
R056,2025-01-22,11.39
R057,2025-01-10,11.03
R088,2025-01-11,6.35
R069,2025-01-05,6.62
R078,2025-01-24,9.49
R052,2025-02-15,6.48
R088,2025-03-08,9.29
R007,2025-02-23,8.02
R087,2025-03-05,9.25
R042,2025-01-17,8.39
R023,2025-01-15,11.69
R059,2025-03-09,7.41
R028,2025-02-20,5.41
R089,2025-01-27,11.43
R085,2025-03-09,7.65
R078,2025-03-11,10.02
R096,2025-02-01,5.85
R093,2025-02-27,11.29
R088,2025-03-02,7.23
R042,2025-01-31,9.15
R018,2025-01-12,8.56
R082,2025-02-14,11.99
R090,2025-02-09,12.58
R008,2025-02-15,10.23
R082,2025-01-20,8.11
R054,2025-01-24,12.43
R083,2025-03-01,6.52
R042,2025-01-05,7.74
R074,2025-03-10,11.89
R045,2025-03-04,12.25
R045,2025-02-03,10.55
R055,2025-01-27,6.3
R072,2025-03-10,10.61
R058,2025-03-05,6.26
R044,2025-02-03,12.72
R020,2025-01-06,8.42
R090,2025-01-15,13.02
R040,2025-02-04,7.03
R080,2025-02-01,12.09
R029,2025-01-05,8.29
R023,2025-01-20,11.39
R003,2025-02-15,12.09
R080,2025-01-02,11.09
R073,2025-02-01,12.99
R096,2025-03-05,5.28
R084,2025-02-01,7.02
R092,2025-02-19,12.23
R053,2025-01-23,9.45
R052,2025-01-06,11.97
R030,2025-02-17,8.89
R022,2025-02-01,5.84
R004,2025-01-24,10.05
R079,2025-01-30,9.48
R022,2025-01-29,10.78
R068,2025-03-08,7.31
R063,2025-03-11,7.51
R054,2025-01-08,11.36
R036,2025-02-18,6.13
R011,2025-02-04,10.51
R024,2025-02-09,9.28
R028,2025-03-08,7.76
R093,2025-02-22,12.83
R033,2025-02-06,9.36
R059,2025-03-07,7.02
R064,2025-02-24,9.48
R093,2025-01-20,9.93
R044,2025-02-04,13.28
R023,2025-02-12,11.11
R076,2025-01-23,12.35
R034,2025-03-07,8.22
R058,2025-02-15,4.14
R027,2025-02-19,9.24
R072,2025-01-20,9.05
R084,2025-01-12,8.53
R045,2025-01-11,13.0
R071,2025-01-02,9.71
R004,2025-01-08,12.54
R072,2025-01-29,8.04
R065,2025-02-26,6.4
R049,2025-03-04,7.99
R047,2025-02-19,11.5
R010,2025-02-16,9.26
R097,2025-01-05,9.3
R075,2025-01-31,8.43
R049,2025-02-23,7.7
R062,2025-02-28,5.41
R021,2025-01-21,11.28
R061,2025-02-23,8.08
R006,2025-02-01,9.8
R087,2025-01-29,7.06
R097,2025-02-05,5.82
R017,2025-02-08,8.95
R047,2025-03-07,9.14
R079,2025-01-02,5.25
R066,2025-03-10,8.23
R011,2025-02-06,8.28
R034,2025-01-14,8.67
R003,2025-01-30,11.07
R038,2025-03-03,9.24
R010,2025-02-23,11.54
R011,2025-02-12,8.6
R031,2025-02-02,7.57
R017,2025-02-25,12.06
R006,2025-02-13,6.05
R014,2025-03-02,5.45
R081,2025-01-08,11.2
R078,2025-01-13,8.28
R058,2025-01-05,9.21
R071,2025-01-19,12.5
R020,2025-02-19,7.14
R080,2025-03-06,8.93
R074,2025-02-15,10.66
R063,2025-01-26,10.73
R003,2025-02-09,10.16
R037,2025-03-01,6.96
R094,2025-03-01,9.93
R025,2025-01-04,9.94
R023,2025-01-27,9.38
R100,2025-02-22,13.64
R078,2025-02-25,7.5
R016,2025-02-28,7.74
R045,2025-02-17,10.61
R094,2025-01-18,12.91
R065,2025-02-24,10.43
R069,2025-02-26,8.37
R028,2025-03-06,6.57
R003,2025-01-29,11.88
R021,2025-01-15,8.92
R091,2025-01-19,8.33
R011,2025-01-07,8.61
R024,2025-03-03,9.53
R061,2025-01-02,8.94
R065,2025-02-16,7.67
R080,2025-02-04,11.61
R046,2025-02-15,10.06
R025,2025-02-19,7.93
R095,2025-03-05,8.99
R007,2025-01-16,9.64
R052,2025-01-05,7.4
R040,2025-01-30,11.04
R008,2025-01-22,14.59
R023,2025-02-08,10.94
R036,2025-02-01,6.5
R086,2025-01-16,5.94
R089,2025-02-28,11.87
R012,2025-02-11,11.44
R019,2025-01-18,12.37
R070,2025-01-01,8.44
R071,2025-01-20,10.54
R027,2025-02-08,10.07
R024,2025-02-12,13.17
R048,2025-02-17,9.8
R056,2025-01-13,8.84
R016,2025-02-10,5.9
R035,2025-02-07,9.2
R053,2025-01-07,9.86
R057,2025-02-25,6.11
R061,2025-02-24,9.77
R021,2025-02-13,12.35
R024,2025-01-23,11.89
R020,2025-02-15,10.0
R087,2025-02-05,11.94
R099,2025-01-15,8.51
R091,2025-01-29,7.92
R002,2025-01-11,5.41
R045,2025-01-16,11.69
R093,2025-02-15,10.16
R072,2025-01-14,11.21
R026,2025-03-09,9.37
R002,2025-01-26,6.4
R063,2025-01-08,9.44
R092,2025-01-20,13.99
R028,2025-01-02,7.36
R090,2025-01-14,14.01
R064,2025-01-14,11.2
R099,2025-01-09,10.68
R059,2025-02-23,3.78
R016,2025-01-29,8.74
R079,2025-03-02,9.43
R042,2025-02-08,6.28
R081,2025-02-26,12.99
R020,2025-02-14,8.71
R058,2025-02-08,7.41
R056,2025-02-02,9.28
R055,2025-01-26,7.24
R015,2025-01-26,4.63
R008,2025-01-07,10.4
R006,2025-02-28,5.69
R026,2025-01-06,8.36
R056,2025-02-21,11.13
R049,2025-01-27,10.32
R018,2025-01-30,14.33
R037,2025-01-12,8.72
R025,2025-03-06,10.43
R064,2025-02-27,10.89
R071,2025-02-21,10.37
R049,2025-03-08,11.57
R019,2025-02-07,9.51
R039,2025-01-19,8.29
R035,2025-02-22,6.95
R031,2025-01-28,11.36
R034,2025-02-17,9.4
R061,2025-03-09,6.87
R073,2025-01-22,11.2
R097,2025-02-14,10.5
R049,2025-02-28,6.94
R074,2025-01-24,7.25
R064,2025-01-25,14.24
R048,2025-01-19,6.69
R093,2025-01-26,9.65
R021,2025-01-08,11.58
R015,2025-01-30,5.88
R088,2025-03-03,11.14
R059,2025-03-11,8.02
R097,2025-02-18,7.17
R072,2025-01-22,12.4
R025,2025-02-27,9.51
R011,2025-02-26,8.17
R011,2025-01-13,9.7
R061,2025-01-25,7.84
R054,2025-02-12,14.26
R097,2025-01-21,4.65
R001,2025-03-03,10.99
R058,2025-01-06,8.23
R020,2025-02-10,8.75
R094,2025-02-17,10.61
R070,2025-01-27,8.21
R036,2025-03-09,7.57
R020,2025-01-01,6.98
R054,2025-01-11,10.76
R099,2025-03-04,8.82
R085,2025-02-28,9.67
R058,2025-01-08,5.75
R013,2025-01-03,7.41
R050,2025-01-31,4.42
R001,2025-01-20,8.28
R089,2025-02-26,6.32
R048,2025-01-18,6.48
R018,2025-02-01,11.09
R016,2025-02-23,9.48
R072,2025-01-27,9.96
R058,2025-01-30,8.98
R019,2025-02-12,9.08
R052,2025-01-01,7.23
R010,2025-01-13,11.59
R098,2025-02-05,4.59
R089,2025-01-01,10.64
R013,2025-01-13,7.72
R073,2025-01-25,8.9
R017,2025-02-13,10.8
R012,2025-01-31,12.53
R078,2025-02-17,8.39
R055,2025-01-23,8.97
R063,2025-01-14,7.32
R072,2025-01-12,10.55
R020,2025-02-13,8.63
R014,2025-01-28,6.02
R032,2025-03-11,6.05
R004,2025-02-07,12.12
R016,2025-02-17,6.46
R081,2025-01-04,11.1
R081,2025-01-27,13.04
R082,2025-01-23,10.27
R048,2025-02-26,9.27
R086,2025-01-13,9.08
R087,2025-02-26,6.88
R100,2025-02-02,12.1
R026,2025-02-09,8.35
R023,2025-01-14,9.9
R008,2025-02-23,13.13
R059,2025-02-20,5.24
R071,2025-02-27,8.94
R077,2025-01-21,12.54
R007,2025-02-22,6.28
R004,2025-01-19,11.34
R055,2025-02-11,10.06
R077,2025-01-14,12.3
R051,2025-01-29,9.93
R073,2025-01-31,11.53
R047,2025-01-31,12.93
R026,2025-02-25,10.42
R100,2025-03-01,12.63
R062,2025-03-06,7.81
R045,2025-03-11,15.09
R067,2025-02-06,11.57
R042,2025-02-16,11.63
R052,2025-02-26,7.03
R037,2025-01-15,10.02
R062,2025-02-20,5.65
R052,2025-01-24,6.68
R024,2025-03-02,10.54
R066,2025-01-12,10.22
R078,2025-02-26,12.47
R076,2025-03-10,7.18
R091,2025-01-27,6.36
R001,2025-02-01,7.02
R011,2025-03-06,10.32
R014,2025-02-20,6.55
R029,2025-01-06,9.25
R008,2025-02-18,9.26
R042,2025-01-21,7.91
R016,2025-02-04,7.28
R023,2025-03-01,10.71
R046,2025-02-05,8.98
R037,2025-02-25,5.4
R094,2025-01-09,12.79
R058,2025-02-12,6.9
R036,2025-01-15,8.27
R095,2025-01-18,10.73
R001,2025-01-18,9.63
R002,2025-01-27,8.12
R094,2025-01-04,12.31
R063,2025-01-09,8.63
R028,2025-02-06,5.97
R003,2025-01-17,13.51
R045,2025-01-22,13.82
R036,2025-02-04,8.98
R028,2025-02-02,6.72
R080,2025-01-22,12.7
R005,2025-02-09,10.05
R091,2025-02-18,10.64
R093,2025-03-06,11.55
R076,2025-01-29,8.56
R015,2025-02-24,6.01
R005,2025-02-11,7.86
R019,2025-02-25,6.1
R007,2025-01-06,8.92
R027,2025-03-08,12.2
R076,2025-01-11,11.65
R066,2025-03-06,9.67
R050,2025-01-21,7.08
R068,2025-01-07,6.68
R046,2025-01-19,11.57
R021,2025-03-09,11.68
R007,2025-01-28,6.84
R027,2025-02-20,10.53
R094,2025-01-03,11.77
R047,2025-02-13,12.01
R054,2025-02-17,11.31
R020,2025-03-05,7.56
R057,2025-01-02,8.03
R090,2025-01-28,10.34
R021,2025-01-24,8.89
R022,2025-03-05,8.6
R094,2025-03-07,12.77
R086,2025-01-18,9.75
R098,2025-01-18,6.58
R099,2025-02-08,10.77
R060,2025-01-11,7.02
R048,2025-02-03,7.14
R037,2025-02-28,9.07
R088,2025-01-19,10.85
R083,2025-01-04,9.99
R002,2025-01-24,6.97
R069,2025-01-23,11.08
R009,2025-01-17,8.01
R082,2025-02-19,9.96
R077,2025-01-26,13.48
R083,2025-02-04,11.47
R081,2025-03-03,10.39
R049,2025-01-18,11.45
R007,2025-02-26,12.25
R096,2025-03-04,7.46
R035,2025-01-25,8.6
R061,2025-01-16,7.23
R048,2025-01-07,4.66
R070,2025-02-01,6.32
R081,2025-02-08,8.01
R046,2025-01-02,9.5
R070,2025-02-22,7.0
R087,2025-03-01,8.36
R037,2025-01-04,7.58
R067,2025-02-18,8.41
R091,2025-03-10,11.81
R007,2025-03-09,12.77
R084,2025-01-18,9.59
R009,2025-02-02,6.99
R037,2025-02-19,9.6
R016,2025-01-07,7.8
R021,2025-02-03,9.91
R063,2025-02-24,10.14
R005,2025-02-24,7.62
R028,2025-01-29,6.64
R044,2025-02-13,7.23
R093,2025-01-16,9.56
R001,2025-01-24,8.65
R032,2025-01-20,8.36
R022,2025-02-12,7.21
R030,2025-01-13,6.79
R088,2025-02-07,8.67
R082,2025-01-24,10.37
R045,2025-03-01,11.0
R082,2025-01-13,10.28
R019,2025-01-22,7.22
R038,2025-02-28,12.87
R064,2025-03-07,11.9
R056,2025-02-27,10.23
R015,2025-02-28,7.43
R046,2025-01-20,9.68
R088,2025-01-23,6.83
R096,2025-01-10,6.97
R098,2025-01-02,5.71
R018,2025-02-24,11.69
R042,2025-01-08,9.23
R047,2025-01-26,14.95
R051,2025-02-12,12.13
R010,2025-03-08,13.58
R084,2025-01-07,9.41
R055,2025-03-08,9.27
R027,2025-01-16,8.31
R082,2025-01-29,9.84
R048,2025-01-08,8.23
R058,2025-01-22,7.55
R065,2025-01-03,11.12
R052,2025-02-12,8.78
R066,2025-01-13,9.09
R052,2025-01-09,4.64
R084,2025-01-11,9.36
R006,2025-01-29,7.2
R097,2025-02-22,4.25
R091,2025-02-06,8.63
R003,2025-03-01,8.67
R039,2025-01-24,8.03
R073,2025-01-26,12.09
R052,2025-02-16,8.6
R077,2025-02-11,11.37
R031,2025-01-20,9.7
R099,2025-02-06,8.0
R049,2025-01-22,10.75
R053,2025-03-09,13.69
R023,2025-03-02,14.25
R072,2025-02-27,7.28
R039,2025-02-25,11.08
R041,2025-01-03,9.53
R070,2025-02-21,5.2
R081,2025-02-28,10.1
R075,2025-01-15,9.23
R039,2025-01-04,8.59
R097,2025-01-18,8.64
R097,2025-02-09,4.96
R015,2025-03-04,8.99
R043,2025-03-10,7.63
R090,2025-01-03,11.98
R041,2025-02-17,10.74
R049,2025-02-09,9.48
R051,2025-03-09,10.13
R064,2025-03-03,11.38
R014,2025-01-18,8.01
R040,2025-01-13,6.44
R047,2025-03-11,13.37
R008,2025-02-27,13.64
R082,2025-02-03,9.04
R065,2025-01-21,6.89
R050,2025-02-21,4.92
R046,2025-02-04,8.77
R026,2025-01-16,9.0
R020,2025-01-16,9.03
R019,2025-03-02,12.07
R078,2025-01-28,9.32
R084,2025-03-04,9.42
R058,2025-01-12,7.51
R031,2025-03-09,5.81
R077,2025-02-13,10.57
R024,2025-02-17,8.68
R042,2025-01-24,7.93
R023,2025-03-10,12.95
R047,2025-01-19,12.25
R050,2025-01-09,5.18
R008,2025-01-29,10.64
R009,2025-02-21,11.05
R037,2025-01-23,7.31
R047,2025-01-16,12.13
R044,2025-03-03,11.53
R050,2025-01-05,6.58
R008,2025-01-02,9.74
R087,2025-01-15,6.82
R011,2025-02-03,9.28
R005,2025-02-13,8.35
R094,2025-02-27,9.0
R079,2025-01-25,8.85
R066,2025-01-19,8.91
R015,2025-03-01,7.77
R056,2025-01-06,11.47
R076,2025-01-28,11.54
R100,2025-03-03,8.67
R005,2025-02-14,12.01
R039,2025-01-21,9.21
R009,2025-01-27,8.13
R074,2025-01-16,8.96
R022,2025-02-09,5.48
R029,2025-02-02,5.95
R068,2025-03-07,9.2
R085,2025-01-20,10.23
R016,2025-01-08,8.05
R024,2025-03-01,10.66
R046,2025-02-01,10.62
R045,2025-01-30,14.59
R099,2025-01-24,7.06
R084,2025-02-08,8.38
R050,2025-02-10,6.77
R027,2025-01-21,6.86
R002,2025-01-19,8.25
R100,2025-02-15,10.36
R032,2025-01-13,8.54
R018,2025-02-22,12.46
R094,2025-01-27,11.42
R038,2025-02-08,11.25
R043,2025-01-10,7.51
R012,2025-02-28,11.72
R098,2025-01-28,9.63
R020,2025-02-12,7.78
R003,2025-02-28,12.76
R028,2025-01-23,6.68
R088,2025-03-11,11.1
R016,2025-01-06,7.68
R002,2025-01-04,4.38
R083,2025-01-02,11.93
R050,2025-02-17,7.93
R018,2025-01-06,11.23
R100,2025-01-22,12.69
R073,2025-01-21,11.39
R099,2025-01-12,6.81
R041,2025-02-03,9.06
R044,2025-01-30,12.18
R015,2025-03-08,5.61
R085,2025-03-06,8.39
R074,2025-01-20,9.45
R017,2025-01-30,13.29
R097,2025-03-05,8.11
R098,2025-02-12,9.21
R015,2025-01-17,5.38
R054,2025-01-22,10.82
R018,2025-01-21,13.1
R092,2025-01-11,12.58
R076,2025-03-04,11.56
R021,2025-02-16,8.63
R087,2025-03-06,9.07
R041,2025-01-28,8.4
R100,2025-01-12,11.5
R021,2025-02-06,9.14
R083,2025-01-10,10.86
R050,2025-01-10,6.55
R018,2025-01-10,12.35
R085,2025-01-17,6.51
R060,2025-01-18,7.83
R037,2025-01-21,4.72
R026,2025-01-19,7.76
R048,2025-01-09,6.85
R055,2025-03-04,7.07
R003,2025-03-10,10.98
R077,2025-01-02,10.41
R039,2025-02-14,9.46
R035,2025-02-13,10.75
R009,2025-03-02,7.92
R041,2025-03-01,7.02
R054,2025-02-21,13.25
R095,2025-01-03,9.6
R055,2025-02-03,7.66
R031,2025-02-03,11.31
R051,2025-02-13,12.16
R092,2025-03-02,12.32
R018,2025-01-04,11.0
R091,2025-01-09,7.43
R021,2025-01-20,11.86
R016,2025-01-30,5.12
R047,2025-02-27,12.94
R005,2025-01-07,8.79
R059,2025-01-19,6.79
R061,2025-03-11,9.78
R024,2025-01-08,8.24
R096,2025-02-22,5.47
R036,2025-02-06,5.12
R069,2025-02-13,9.96
R028,2025-01-04,8.15
R076,2025-02-26,11.08
R081,2025-03-06,12.07
R088,2025-01-31,8.34
R006,2025-02-21,6.78
R045,2025-01-21,14.3
R011,2025-02-17,8.98
R025,2025-02-11,8.04
R001,2025-02-11,8.99
R018,2025-02-03,15.05
R062,2025-01-25,6.64
R032,2025-01-15,6.63
R021,2025-01-27,8.5
R014,2025-02-17,8.09
R082,2025-01-05,10.73
R068,2025-02-22,10.49
R011,2025-02-07,8.19
R062,2025-02-04,7.54
R057,2025-01-31,9.61
R012,2025-03-05,11.51
R043,2025-01-02,7.12
R033,2025-01-21,9.09
R027,2025-02-09,11.07
R041,2025-02-20,8.43
R037,2025-01-14,8.51
R055,2025-01-22,6.21
R046,2025-01-04,9.36
R027,2025-02-22,12.2
R067,2025-03-08,6.87
R039,2025-02-28,11.52
R033,2025-03-01,8.46
R079,2025-03-05,7.96
R062,2025-03-04,6.05
R073,2025-02-08,9.75
R099,2025-01-28,8.41
R075,2025-02-09,6.88
R053,2025-01-28,8.68
R013,2025-01-26,5.94
R074,2025-03-02,8.7
R062,2025-02-02,10.64
R008,2025-03-01,11.63
R014,2025-01-23,6.48
R038,2025-01-20,9.63
R041,2025-02-15,7.86
R005,2025-01-17,9.16
R074,2025-01-19,8.6
R018,2025-01-26,11.96
R033,2025-03-06,6.47
R071,2025-03-04,12.23
R078,2025-03-06,9.74
R051,2025-01-05,7.96
R058,2025-01-28,6.85
R024,2025-01-14,12.62
R002,2025-01-31,9.39
R083,2025-01-09,9.11
R063,2025-02-12,9.85
R070,2025-01-09,6.93
R057,2025-01-22,10.39
R100,2025-02-27,14.15
R032,2025-02-08,10.91
R072,2025-02-18,9.01
R047,2025-03-04,10.64
R012,2025-01-29,12.39
R076,2025-02-09,9.55
R062,2025-01-01,7.38
R021,2025-01-11,9.8
R060,2025-01-12,12.2
R038,2025-03-02,10.99
R005,2025-03-08,8.37
R045,2025-02-21,12.93
R041,2025-02-25,8.94
R032,2025-01-04,7.44
R070,2025-01-18,4.43
R010,2025-02-21,10.16
R017,2025-02-26,9.41
R037,2025-02-22,9.74
R085,2025-01-09,10.36
R002,2025-01-18,6.82
R007,2025-02-15,9.32
R064,2025-01-01,13.1
R075,2025-01-11,6.17
R051,2025-02-18,10.88
R023,2025-01-04,8.51
R072,2025-01-24,10.89
R083,2025-03-09,8.82
